goalnum;PR_GOALNUM;goalnum;model;real;TIME
15;1.9353386136749;6;15;6;10/01/2018
4;1.8511027995476;17;19;23;10/01/2018
9;1.8446395461417;0;28;23;10/01/2018
0;1.843978602359;1;28;24;10/01/2018
0;1.8402493344797;14;28;38;10/01/2018
5;1.8388371676385;0;33;38;10/01/2018
8;1.8224738500163;0;41;38;10/01/2018
1;1.8025500107705;18;42;56;10/01/2018
1;1.727515265448;1;43;57;10/01/2018
10;1.6950507701683;10;53;67;10/01/2018
6;1.6943223141442;0;59;67;10/01/2018
19;1.6631308313356;0;78;67;10/01/2018
8;1.6605925879717;0;86;67;11/01/2018
5;1.6480390051414;0;91;67;11/01/2018
2;1.638982072231;0;93;67;11/01/2018
7;1.6295740508811;9;100;76;11/01/2018
7;1.6262581101542;0;107;76;11/01/2018
8;1.6211977950796;0;115;76;11/01/2018
2;1.6064723974229;0;117;76;11/01/2018
8;1.5917518219283;15;125;91;11/01/2018
10;1.5883142344139;1;135;92;11/01/2018
4;1.5858617296253;0;139;92;11/01/2018
8;1.5804729218645;1;147;93;11/01/2018
3;1.575431318609;4;150;97;11/01/2018
5;1.5613258010119;12;155;109;11/01/2018
3;1.5284313058603;8;158;117;12/01/2018
0;1.528039242339;8;158;125;12/01/2018
14;1.5192815924493;0;172;125;12/01/2018
0;1.5190222848535;3;172;128;12/01/2018
6;1.517791169435;7;178;135;12/01/2018
4;1.510686118557;8;182;143;15/01/2018
0;1.5042451805207;10;182;153;15/01/2018
14;1.4775830445908;4;196;157;15/01/2018
7;1.4762287951649;17;203;174;15/01/2018
7;1.4726184166772;0;210;174;16/01/2018
2;1.4693678430215;5;212;179;16/01/2018
7;1.4653001761075;5;219;184;16/01/2018
7;1.4563293778926;1;226;185;16/01/2018
1;1.4494426149946;2;227;187;16/01/2018
5;1.4402254770646;4;232;191;16/01/2018
0;1.4387799629509;1;232;192;16/01/2018
3;1.4289838271254;7;235;199;16/01/2018
0;1.4277239984401;21;235;220;16/01/2018
0;1.4191415246275;7;235;227;16/01/2018
10;1.4190255924057;5;245;232;16/01/2018
2;1.4092513760154;1;247;233;16/01/2018
1;1.3995783747923;5;248;238;18/01/2018
0;1.3992504528603;2;248;240;18/01/2018
1;1.3947513488051;10;249;250;18/01/2018
12;1.3906159471057;0;261;250;18/01/2018
10;1.3890556583274;4;271;254;18/01/2018
2;1.3846830779841;0;273;254;18/01/2018
12;1.3821667487877;1;285;255;18/01/2018
2;1.3800848883873;3;287;258;18/01/2018
0;1.3797223887931;8;287;266;18/01/2018
5;1.3720998001843;4;292;270;18/01/2018
1;1.3662991026628;1;293;271;18/01/2018
6;1.3642994028698;5;299;276;18/01/2018
5;1.363709747769;7;304;283;19/01/2018
9;1.3608440434037;3;313;286;19/01/2018
2;1.3574339384183;0;315;286;19/01/2018
6;1.3566522017752;0;321;286;19/01/2018
4;1.3457181251422;11;325;297;19/01/2018
0;1.3408892717059;3;325;300;19/01/2018
0;1.3367746085779;0;325;300;19/01/2018
4;1.3360140776553;4;329;304;19/01/2018
1;1.333393950356;5;330;309;22/01/2018
6;1.3329854471508;1;336;310;22/01/2018
0;1.3292903506683;3;336;313;22/01/2018
5;1.3149052212017;2;341;315;22/01/2018
3;1.310715474957;5;344;320;22/01/2018
0;1.3085133803723;0;344;320;23/01/2018
0;1.3051601061017;0;344;320;23/01/2018
10;1.3032035795634;0;354;320;23/01/2018
1;1.3018310450188;2;355;322;23/01/2018
1;1.3003880656629;1;356;323;23/01/2018
2;1.2994179150194;0;358;323;23/01/2018
13;1.2989925991671;2;371;325;23/01/2018
3;1.2958671509782;0;374;325;23/01/2018
3;1.2935356541925;23;377;348;23/01/2018
5;1.2842652565256;5;382;353;23/01/2018
7;1.2828740256245;1;389;354;23/01/2018
4;1.2821323494428;2;393;356;23/01/2018
0;1.2740892636027;1;393;357;23/01/2018
4;1.2729027575823;3;397;360;23/01/2018
5;1.2721054616784;2;402;362;24/01/2018
3;1.2695366021083;19;405;381;25/01/2018
1;1.2676447694962;10;406;391;25/01/2018
1;1.2659307054105;1;407;392;25/01/2018
0;1.2562266753595;4;407;396;25/01/2018
3;1.2543965189662;3;410;399;25/01/2018
0;1.2465314270754;10;410;409;25/01/2018
3;1.2457399977986;0;413;409;25/01/2018
0;1.2419147980119;3;413;412;25/01/2018
2;1.2416984225868;3;415;415;25/01/2018
2;1.2400121695575;8;417;423;25/01/2018
23;1.23891170013;3;440;426;25/01/2018
4;1.2371883997639;7;444;433;25/01/2018
3;1.2336881120099;7;447;440;25/01/2018
7;1.2303136137234;7;454;447;26/01/2018
1;1.2265440333424;1;455;448;26/01/2018
